Real;Forecast;MAPE
4658;4692.831455;0.747777047
4546;4547.538001;0.033831953
4502;4478.854802;0.514109239
4586;4521.302502;1.410760962
4892;4701.084661;3.902603002
5475;5155.539997;5.8348859
5526;5906.021268;6.876968292
5401;5404.395049;0.062859629
5304;5237.268559;1.258134258
5103;5195.649492;1.815588714
4894;4900.04055;0.123427667
4697;4713.792589;0.357517338
4336;4564.031978;5.259040082
4029;4109.915348;2.008323359
3814;3909.046394;2.492039697
3801;3775.333493;0.675256697
4009;3925.542003;2.081765957
4395;4264.377452;2.972071636
4969;4741.993307;4.5684583
5140;5406.116353;5.17736096
5169;5129.521482;0.763755431
5065;5105.618656;0.80194779
5021;4892.199111;2.565243747
4939;4927.991473;0.222889792
4814;4809.293893;0.097758761
4693;4686.522119;0.138032841
4696;4626.075167;1.489029664
4903;4752.476959;3.070019201
5184;5105.589681;1.512544726
5646;5386.62586;4.593945086
5636;5975.255667;6.019440516
5598;5490.45561;1.921121654
5451;5525.983717;1.375595619
5296;5281.889322;0.266440287
5041;5148.791342;2.138292833
4754;4820.313959;1.39490868
4389;4564.899771;4.007741431
3990;4183.019201;4.837573963
3916;3797.97136;3.014010209
3835;4034.532409;5.202931124
4035;3875.593526;3.950594146
4432;4313.994698;2.66257451
4971;4796.171679;3.516964813
5215;5381.111669;3.185266912
5331;5275.474582;1.041557271
5306;5320.935497;0.281483172
5287;5178.940818;2.043865753
5192;5183.620912;0.161384598
5177;5032.952651;2.782448311
5068;5132.336608;1.269467409
5094;4955.388197;2.721079765
5197;5147.657185;0.949448052
5456;5292.864365;2.990022641
5679;5659.722749;0.33944798
5685;5807.293885;2.15116773
5603;5615.469682;0.222553674
5447;5505.20743;1.068614462
5279;5299.285992;0.384277168
5050;5141.898862;1.819779455
4791;4877.970225;1.815283341
4455;4636.668817;4.077863461
4101;4271.558386;4.158946257
3927;3941.489822;0.368979431
3894;3940.006656;1.181475512
4063;3994.014125;1.697904881
4455;4295.767091;3.574251594
4996;4820.179852;3.519218327
5222;5407.551103;3.553257429
5255;5270.433806;0.293697547
5230;5171.836907;1.112105021
5382;5125.902017;4.758416626
5133;5429.746473;5.781150844
5070;4802.827015;5.269684114
5030;5021.207879;0.174793655
5031;5005.538736;0.506087533
5086;5052.220794;0.664160563
5315;5142.76459;3.240553335
5648;5505.414285;2.524534608
5609;5888.211087;4.977912056
5518;5475.665288;0.767211162
5316;5421.693875;1.988221869
5198;5138.137514;1.151644603
4958;5122.515711;3.318186994
4798;4763.515785;0.718720617
4415;4731.269181;7.163514869
4072;4169.797977;2.401718482
3912;3930.482525;0.472457173
3801;3930.167692;3.398255508
3891;3826.555376;1.65624836
4016;4075.834505;1.489903016
4434;4168.387103;5.990367542
4864;4818.634986;0.932668873
5042;5153.012231;2.201749913
5043;5055.937872;0.256551108
4967;4941.069212;0.522061373
4962;4830.128021;2.657637627
4894;4906.744013;0.260400749
4765;4770.280536;0.110819219
4746;4632.93089;2.382408551
4750;4762.797399;0.269418922
5010;4770.584085;4.77876078
5372;5245.323269;2.358092536
5404;5619.812375;3.993567264
5282;5331.700206;0.940935358
5172;5145.019632;0.521662176
5052;5074.137802;0.438198776
4909;4942.349632;0.679356938
4732;4786.070846;1.142663694
4346;4611.643018;6.112356593
4014;4090.009796;1.89361725
3801;3871.55375;1.856189148
3691;3761.589236;1.912469132
3712;3723.232205;0.302591723
3717;3835.51149;3.188364002
4105;3790.888166;7.651932618
4472;4500.534984;0.638081042
4721;4717.533199;0.073433612
5003;4828.550077;3.486906314
5020;5143.784823;2.465833122
5005;4899.755234;2.102792537
4919;4907.287214;0.238113163
4702;4767.393058;1.390749845
4651;4478.343749;3.712239329
4664;4635.683169;0.607136164
4870;4687.360504;3.750297664
5300;5060.184275;4.524824999
5343;5628.040738;5.334844434
5360;5273.960272;1.605218798
5273;5346.759059;1.398806349
5139;5160.273615;0.413964105
5016;5004.959476;0.220106142
4714;4905.051392;4.052850921
4328;4470.470977;3.291843286
3956;4090.172206;3.391612892
3765;3774.751561;0.259005595
3733;3758.875884;0.693165915
3921;3832.81677;2.248998457
4370;4169.915928;4.578582881
5006;4785.463133;4.405450807
5261;5487.450795;4.304329876
5309;5306.252163;0.051758085
5244;5222.254915;0.414666
5204;5090.505205;2.180914581
5051;5086.815413;0.709075687
5021;4838.497297;3.634787957
4935;4978.953249;0.890643349
4898;4855.63009;0.865045115
4912;4905.253738;0.137342458
5133;4956.659099;3.435435437
5637;5337.385754;5.315136532
5725;6023.381449;5.211903036
5665;5658.240484;0.119320668
5529;5556.116028;0.490432764
5409;5387.902953;0.390035994
5133;5299.589065;3.245452261
4905;4883.495725;0.438415393
4522;4764.584863;5.364548061
4178;4280.081917;2.443320172
3959;4032.438346;1.854972114
3925;3928.821703;0.097368227
4200;4036.489126;3.893116037
4529;4528.17168;0.018289252
5052;4807.574981;4.838183272
5231;5463.698976;4.448460636
5217;5245.929934;0.554531987
5171;5108.832138;1.202240616
5112;5060.300388;1.011338267
5055;4994.416201;1.198492555
4970;4956.588698;0.269845112
4930;4872.269353;1.171007038
4910;4918.857618;0.180399555
5017;4914.299923;2.047041606
5289;5130.109778;3.004163768
5730;5505.3027;3.921418841
5718;6040.745385;5.644375394
5594;5576.041059;0.321039348
5541;5452.917435;1.589651055
5360;5479.321078;2.226139516
5144;5175.477857;0.611933454
4852;4966.680267;2.363566921
4442;4651.129386;4.708000595
